Feature Subset,Classifier,Accuracy,F1-Score
Baseline,Naive Bayes,0.47315032679738567,0.4895454067164698
Baseline,k-NN,0.7354248366013072,0.8333921649395407
Baseline,Multilayer Perceptron,0.7752156862745098,0.8596038630431725
Baseline,Random Forest,0.768470588235294,0.8552620166767142
Baseline,SVM (Linear),0.7791372549019607,0.8662468622264823
Baseline,SVM (RBF),0.7659346405228759,0.8604666730702158
Baseline,Logistic Regression (with PCA),0.7779346405228759,0.865968964443214
MFCC,Naive Bayes,0.5912418300653595,0.6582315641351375
MFCC,k-NN,0.7669803921568628,0.8507205807079521
MFCC,Multilayer Perceptron,0.7523398692810457,0.8408489873158261
MFCC,Random Forest,0.7921830065359478,0.870548247843077
MFCC,SVM (Linear),0.7814901960784314,0.8619894663916213
MFCC,SVM (RBF),0.7895424836601308,0.8704318032631038
MFCC,Logistic Regression (with PCA),0.7921568627450981,0.8681438048302871
Wavelet,Naive Bayes,0.7580392156862745,0.8308366770683557
Wavelet,k-NN,0.7883137254901962,0.8695467923822189
Wavelet,Multilayer Perceptron,0.7923137254901962,0.8634639491998355
Wavelet,Random Forest,0.8224575163398693,0.8877846849467417
Wavelet,SVM (Linear),0.7380915032679739,0.8231133081526174
Wavelet,SVM (RBF),0.806797385620915,0.881286708656177
Wavelet,Logistic Regression (with PCA),0.7658562091503268,0.8447695167331497
Vocal Fold,Naive Bayes,0.7118692810457516,0.7899040771679294
Vocal Fold,k-NN,0.7816470588235294,0.8638853805055602
Vocal Fold,Multilayer Perceptron,0.7710588235294117,0.849816865193892
Vocal Fold,Random Forest,0.8303529411764707,0.8937444713213247
Vocal Fold,SVM (Linear),0.7604967320261438,0.8415808758940446
Vocal Fold,SVM (RBF),0.8134117647058824,0.8858747518838834
Vocal Fold,Logistic Regression (with PCA),0.7789281045751635,0.8568525868269024
